Demographic,State,State Abbr,Winner,Biden %,Trump %,Biden Electoral Votes,Trump Electoral Votes,Electoral Votes Available
Early Voting,alabama,AL,Biden,62,37,9,0,9
Early Voting,alaska,AK,Biden,55,42,3,0,3
Early Voting,arizona,AZ,Biden,52,46,11,0,11
Early Voting,arkansas,AR,Trump,36,61,0,6,6
Early Voting,california,CA,Biden,68,30,55,0,55
Early Voting,colorado,CO,Biden,58,39,9,0,9
Early Voting,connecticut,CT,Biden,79,19,7,0,7
Early Voting,delaware,DE,Biden,80,18,3,0,3
Early Voting,florida,FL,Biden,52,47,29,0,29
Early Voting,georgia,GA,Biden,54,44,16,0,16
Early Voting,hawaii,HI,Biden,65,33,4,0,4
Early Voting,idaho,ID,Trump,46,50,0,4,4
Early Voting,illinois,IL,Biden,67,31,20,0,20
Early Voting,indiana,IN,Trump,47,51,0,11,11
Early Voting,iowa,IA,Biden,57,42,6,0,6
Early Voting,kansas,KS,Biden,52,45,6,0,6
Early Voting,kentucky,KY,Trump,42,57,0,8,8
Early Voting,louisiana,LA,Trump,47,52,0,8,8
Early Voting,maine,ME,Biden,62,35,4,0,4
Early Voting,maryland,MD,Biden,71,27,10,0,10
Early Voting,massachusetts,MA,Biden,76,22,11,0,11
Early Voting,michigan,MI,Biden,63,36,16,0,16
Early Voting,minnesota,MN,Biden,65,34,10,0,10
Early Voting,mississippi,MS,Biden,61,38,6,0,6
Early Voting,missouri,MO,Biden,60,39,10,0,10
Early Voting,montana,MT,Trump,42,55,0,3,3
Early Voting,nebraska,NE,Trump,49,49,0,5,5
Early Voting,nevada,NV,Biden,53,45,6,0,6
Early Voting,new-hampshire,NH,Biden,73,26,4,0,4
Early Voting,new-jersey,NJ,Biden,59,39,14,0,14
Early Voting,new-mexico,NM,Biden,57,41,5,0,5
Early Voting,new-york,NY,Biden,70,29,29,0,29
Early Voting,north-carolina,NC,Biden,52,46,15,0,15
Early Voting,north-dakota,ND,Trump,39,59,0,3,3
Early Voting,ohio,OH,Biden,53,45,18,0,18
Early Voting,oklahoma,OK,Trump,45,53,0,7,7
Early Voting,oregon,OR,Biden,57,41,7,0,7
Early Voting,pennsylvania,PA,Biden,73,26,20,0,20
Early Voting,rhode-island,RI,Biden,72,26,4,0,4
Early Voting,south-carolina,SC,Biden,56,43,9,0,9
Early Voting,south-dakota,SD,Trump,42,55,0,3,3
Early Voting,tennessee,TN,Trump,40,58,0,11,11
Early Voting,texas,TX,Trump,49,50,0,38,38
Early Voting,utah,UT,Trump,39,56,0,6,6
Early Voting,vermont,VT,Biden,80,17,3,0,3
Early Voting,virginia,VA,Biden,65,33,13,0,13
Early Voting,washington,WA,Biden,60,38,12,0,12
Early Voting,west-virginia,WV,Trump,37,61,0,5,5
Early Voting,wisconsin,WI,Biden,62,37,10,0,10
