Year, Date, Full date, Days of year passed,Days in a year,Days left in a year,Percentage of year Earth lasted,Percentage of year left when Earth run out
1971,December 25,12/25/1971,358,365,7,98.08,1.92
1972,December 14,12/14/1972,348,366,18,95.08,4.92
1973,December 01,12/1/1973,334,365,31,91.51,8.49
1974,December 02,12/2/1974,335,365,30,91.78,8.22
1975,December 04,12/4/1975,337,365,28,92.33,7.67
1976,November 21,11/21/1976,325,366,41,88.8,11.2
1977,November 15,11/15/1977,318,365,47,87.12,12.88
1978,November 11,11/11/1978,314,365,51,86.03,13.97
1979,November 02,11/2/1979,305,365,60,83.56,16.44
1980,November 08,11/8/1980,312,366,54,85.25,14.75
1981,November 15,11/15/1981,318,365,47,87.12,12.88
1982,November 19,11/19/1982,322,365,43,88.22,11.78
1983,November 19,11/19/1983,322,365,43,88.22,11.78
1984,November 11,11/11/1984,315,366,51,86.07,13.93
1985,November 08,11/8/1985,311,365,54,85.21,14.79
1986,November 03,11/3/1986,306,365,59,83.84,16.16
1987,October 27,10/27/1987,299,365,66,81.92,18.08
1988,October 18,10/18/1988,291,366,75,79.51,20.49
1989,October 15,10/15/1989,287,365,78,78.63,21.37
1990,October 14,10/14/1990,286,365,79,78.36,21.64
1991,October 13,10/13/1991,285,365,80,78.08,21.92
1992,October 15,10/15/1992,288,366,78,78.69,21.31
1993,October 15,10/15/1993,287,365,78,78.63,21.37
1994,October 13,10/13/1994,285,365,80,78.08,21.92
1995,October 07,10/7/1995,279,365,86,76.44,23.56
1996,October 04,10/4/1996,277,366,89,75.68,24.32
1997,October 01,10/1/1997,273,365,92,74.79,25.21
1998,October 01,10/1/1998,273,365,92,74.79,25.21
1999,October 01,10/1/1999,273,365,92,74.79,25.21
2000,September 25,9/25/2000,268,366,98,73.22,26.78
2001,September 24,9/24/2001,266,365,99,72.88,27.12
2002,September 21,9/21/2002,263,365,102,72.05,27.95
2003,September 11,9/11/2003,253,365,112,69.32,30.68
2004,September 02,9/2/2004,245,366,121,66.94,33.06
2005,August 26,8/26/2005,237,365,128,64.93,35.07
2006,August 21,8/21/2006,232,365,133,63.56,36.44
2007,August 15,8/15/2007,226,365,139,61.92,38.08
2008,August 15,8/15/2008,227,366,139,62.02,37.98
2009,August 19,8/19/2009,230,365,135,63.01,36.99
2010,August 08,8/8/2010,219,365,146,60,40
2011,August 04,8/4/2011,215,365,150,58.9,41.1
2012,August 04,8/4/2012,216,366,150,59.02,40.98
2013,August 03,8/3/2013,214,365,151,58.63,41.37
2014,August 04,8/4/2014,215,365,150,58.9,41.1
2015,August 05,8/5/2015,216,365,149,59.18,40.82
2016,August 06,8/6/2016,218,366,148,59.56,40.44
2017,August 01,8/1/2017,212,365,153,58.08,41.92
2018,July 28,7/28/2018,208,365,157,56.99,43.01
2019,July 29,7/29/2019,209,365,156,57.26,42.74
2020,August 22,8/22/2020,234,366,132,63.93,36.07
2021,July 30,7/30/2021,210,365,155,57.53,42.47
2022,July 28,7/28/2022,208,365,157,56.99,43.01
2023,August 02,8/2/2023,213,365,152,58.34,41.66
